10.37.10.10||||443||commonName=FWF40C3914009597/organizationName=Fortinet Ltd.|2025-07-22
10.37.10.10||||80|
10.37.10.230||||23|
10.37.10.230||||80|
10.38.50.20||||22|cpe:/o:cisco:ios
10.38.50.21||||22|cpe:/o:cisco:ios
10.38.50.22||||22|cpe:/o:cisco:ios
10.38.50.23||||22|cpe:/o:cisco:ios
10.38.50.26||||22|cpe:/o:cisco:ios
10.38.50.27||||22|cpe:/o:cisco:ios
10.38.50.28||||22|cpe:/o:cisco:ios
10.38.50.29||||22|cpe:/o:cisco:ios
10.39.50.20||||22|cpe:/o:cisco:ios
10.39.50.21||||22|cpe:/o:cisco:ios
10.40.35.1||||22|cpe:/o:cisco:ios
10.40.50.1||||22|cpe:/o:cisco:ios
10.40.50.1||||443|cpe:/o:cisco:ios|commonName=10.40.50.1|2027-09-05
10.40.50.20||||22|cpe:/o:cisco:ios
10.42.100.1||||22|
10.42.100.2||||22|
10.42.100.3||||22|
10.42.100.4||||22|
10.42.100.4||||443|||
10.42.102.1||||22|
10.42.102.2||||22|
10.42.102.3||||22|
10.42.102.4||||22|
10.42.102.4||||443|||
10.42.103.1||||22|
10.42.103.3||||22|
10.42.20.1||00:00:0C:07:AC:14|Cisco Systems|22|
10.42.20.2||00:2A:6A:9F:66:01|Cisco Systems|22|
10.42.20.26||00:50:56:B4:29:16|VMware|22|
10.42.20.26||00:50:56:B4:29:16|VMware|443||commonName=linux.site/organizationName=SUSE Linux Web Server/stateOrProvinceName=unknown/countryName=XY|2017-11-11
10.42.20.26||00:50:56:B4:29:16|VMware|80|
10.42.20.3||00:2A:6A:96:65:BC|Cisco Systems|22|
10.42.20.46||00:50:56:B4:5F:77|VMware|22|
10.42.20.54||00:50:56:B4:3D:53|VMware|22|
10.42.20.54||00:50:56:B4:3D:53|VMware|443||commonName=default/organizationName=Citrix ANG/stateOrProvinceName=California/countryName=US|2030-07-10
10.42.20.54||00:50:56:B4:3D:53|VMware|80|
10.42.20.54||00:50:56:B4:69:36|VMware|22|
10.42.20.54||00:50:56:B4:69:36|VMware|443||commonName=default/organizationName=Citrix ANG/stateOrProvinceName=California/countryName=US|2030-07-10
10.42.20.54||00:50:56:B4:69:36|VMware|80|
10.42.20.55|netscaler2.athena15.dallasmetrocare.com|00:50:56:B4:4D:5A|VMware|22|
